img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X,Y,lon,lat,is_banana
Manuel Macias RGB_3_3800_0_7800_4000.png,3626.11865234375,3734.091064453125,3916.792236328125,3995.519287109375,0.6674100160598755,Manuel Macias RGB,3,3800,0,7800,4000,3771.4554443359375,3864.80517578125,7426.11865234375,3734.091064453125,7716.792236328125,3995.519287109375,7571.4554443359375,3864.80517578125,-79.59422229407454,-1.129411220403542,True
Manuel Macias RGB_3_3800_0_7800_4000.png,3330.828125,3793.572021484375,3685.57861328125,3990.460693359375,0.469889760017395,Manuel Macias RGB,3,3800,0,7800,4000,3508.203369140625,3892.016357421875,7130.828125,3793.572021484375,7485.57861328125,3990.460693359375,7308.203369140625,3892.016357421875,-79.59423983227705,-1.1294127640796945,True
Manuel Macias RGB_3_3800_0_7800_4000.png,2172.93310546875,3790.338134765625,2514.00244140625,3992.278076171875,0.3675475716590881,Manuel Macias RGB,3,3800,0,7800,4000,2343.4677734375,3891.30810546875,5972.93310546875,3790.338134765625,6314.00244140625,3992.278076171875,6143.4677734375,3891.30810546875,-79.59431742850772,-1.1294127239009302,True
Manuel Macias RGB_3_3800_0_7800_4000.png,3831.171142578125,3408.541015625,3991.324462890625,3796.05517578125,0.3566805124282837,Manuel Macias RGB,3,3800,0,7800,4000,3911.247802734375,3602.298095703125,7631.171142578125,3408.541015625,7791.324462890625,3796.05517578125,7711.247802734375,3602.298095703125,-79.59421298092214,-1.1293963285137048,True
Manuel Macias RGB_3_3800_0_7800_4000.png,2984.49462890625,3791.31396484375,3332.120361328125,3986.749755859375,0.3240114450454712,Manuel Macias RGB,3,3800,0,7800,4000,3158.3074951171875,3889.0318603515625,6784.49462890625,3791.31396484375,7132.120361328125,3986.749755859375,6958.307495117188,3889.0318603515625,-79.59426314280438,-1.1294125947707312,True
Manuel Macias RGB_3_3800_0_7800_4000.png,1259.41650390625,3819.330078125,1475.373779296875,3990.576171875,0.2548440098762512,Manuel Macias RGB,3,3800,0,7800,4000,1367.3951416015625,3904.953125,5059.41650390625,3819.330078125,5275.373779296875,3990.576171875,5167.395141601562,3904.953125,-79.59438245576145,-1.1294134979757766,True
Manuel Macias RGB_3_3800_0_7800_4000.png,986.6974487304688,3877.65966796875,1264.5013427734375,3995.427734375,0.2180225253105164,Manuel Macias RGB,3,3800,0,7800,4000,1125.5993957519534,3936.543701171875,4786.697448730469,3877.65966796875,5064.501342773438,3995.427734375,4925.599395751953,3936.543701171875,-79.59439856451483,-1.1294152900926984,True
Manuel Macias RGB_3_3800_0_7800_4000.png,2465.544677734375,3809.67626953125,2879.150146484375,3992.641357421875,0.2137553095817566,Manuel Macias RGB,3,3800,0,7800,4000,2672.347412109375,3901.1588134765625,6265.544677734375,3809.67626953125,6679.150146484375,3992.641357421875,6472.347412109375,3901.1588134765625,-79.59429551810986,-1.1294132827264616,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,578.892822265625,384.4309997558594,855.8604125976562,633.3790283203125,0.6252923011779785,Manuel Macias RGB,8,7600,6879,11600,10879,717.3766174316406,508.90501403808594,8178.892822265625,7263.430999755859,8455.860412597656,7512.379028320312,8317.37661743164,7387.905014038086,-79.59417259981633,-1.1296110840211704,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1386.7979736328125,15.815946578979492,1704.2584228515625,360.9515686035156,0.605014443397522,Manuel Macias RGB,8,7600,6879,11600,10879,1545.5281982421875,188.3837575912476,8986.797973632812,6894.81594657898,9304.258422851562,7239.951568603516,9145.528198242188,7067.383757591248,-79.59411742725928,-1.129592901017344,True
