,name,group,lat,lon,diameter,updated_diameter,height,year,plot_id,site,x,y,AGB,carbon,Xmin,Ymin,Xmax,Ymax,score,label
0,Cacao,cacao,-2.18122567,-79.57663014,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,2761.628614991289,6831.070677750942,5.444228267440376,2.1232490243017463,638,6315,967,6535,0,TreeLabel.NOT_BANANA
1,Cacao,cacao,-2.18131243,-79.57641229,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5067.14176493557,7729.961819882837,5.444228267440376,2.1232490243017463,3560,7660,3813,7930,1,TreeLabel.BANANA
2,Cacao,cacao,-2.18143761,-79.57632176,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6025.223497499373,9026.909643437913,5.444228267440376,2.1232490243017463,4984,10871,5152,11117,0,TreeLabel.NOT_BANANA
3,Cacao,cacao,-2.18159308,-79.57615373,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7803.490077975997,10637.681956329916,5.444228267440376,2.1232490243017463,7984,12652,8068,12755,0,TreeLabel.NOT_BANANA
4,Cacao,cacao,-2.18149765,-79.57617944,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7531.400369057465,9648.963863967534,5.444228267440376,2.1232490243017463,7661,11126,8052,11431,1,TreeLabel.BANANA
5,Cacao,cacao,-2.18148479,-79.57623455,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6948.169569583844,9515.725734786118,5.444228267440376,2.1232490243017463,6373,11499,6582,11804,1,TreeLabel.BANANA
6,Cacao,cacao,-2.18137593,-79.57636949,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5520.095461449254,8387.863935202971,5.444228267440376,2.1232490243017463,4588,9405,4782,9615,0,TreeLabel.NOT_BANANA
7,Cacao,cacao,-2.18130329,-79.57640082,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5188.529122313572,7635.265357925446,5.444228267440376,2.1232490243017463,3949,7620,4246,7918,1,TreeLabel.BANANA
8,Cacao,cacao,-2.18124536,-79.57644545,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,4716.208480336377,7035.0721368188415,5.444228267440376,2.1232490243017463,2672,6348,3056,6738,1,TreeLabel.BANANA
9,Cacao,cacao,-2.18114538,-79.57638526,6.079704609119999,6.079704609119999,2.1,2016.0,P8,Nestor Macias RGB,5353.2010737964665,5999.213026741174,4.3067954213863215,1.6796502143406655,3804,4399,4002,4535,0,TreeLabel.NOT_BANANA
10,Variedad bifurcada,other,-2.18133239,-79.57629994,17.3831184083,17.3831184083,0.0,2016.0,P8,Nestor Macias RGB,6256.14521854718,7936.760658020556,83.7151098474827,32.64889284051826,5646,7751,5753,7828,0,TreeLabel.NOT_BANANA
